GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Practica-7-Lab,es.ull.passengers,Passenger,0,89,0,10,0,23,0,13,0,8
Practica-7-Lab,es.ull.flights,Flight,0,73,0,4,0,18,0,8,0,6
